patch_id,tier,area_ha,event_date,classification,reclear_date,ndvi_baseline,ndvi_trough,ndvi_current,ndvi_asymptote,ndvi_tau_years,ndvi_half_life_years,ndvi_recovery_fraction,ndvi_r80p,ndvi_years_to_80pct,ndvi_recent_slope_per_year,ndvi_rmse,ndvi_seasonal_amplitude,ndvi_n_seasons,ndvi_converged,ndvi_at_bound,ndvi_recovery_at_1yr,ndvi_recovery_at_2yr,ndvi_recovery_at_5yr,nbr_baseline,nbr_trough,nbr_current,nbr_asymptote,nbr_tau_years,nbr_half_life_years,nbr_recovery_fraction,nbr_r80p,nbr_years_to_80pct,nbr_recent_slope_per_year,nbr_rmse,nbr_seasonal_amplitude,nbr_n_seasons,nbr_converged,nbr_at_bound,nbr_recovery_at_1yr,nbr_recovery_at_2yr,nbr_recovery_at_5yr
1,confirmed,0.72,2022-12-03,cultivated,,-0.1213,-0.2835,-0.0841,-0.024,0.8868,0.6147,1.2298,,0.6639,-0.0828,0.0758,0.2149,12,True,False,0.8135,1.5516,,-0.096,-0.3433,-0.064,0.0283,0.982,0.6807,1.1295,,0.7405,-0.1105,0.1125,0.3042,12,True,False,0.9144,1.3099,
2,confirmed,0.84,2022-08-07,recovered,,-0.1091,-0.2525,-0.1032,-0.0231,2.3752,1.6463,1.0409,,0.8833,-0.0049,0.0805,0.1972,14,True,False,-0.0283,2.2768,,-0.056,-0.2175,-0.0598,0.0409,3.2807,2.274,0.9767,,1.0448,-0.0224,0.0899,0.2058,14,True,False,-0.2601,2.1115,
3,confirmed,0.48,2022-08-07,cultivated,,-0.1515,-0.4055,-0.1621,-0.0951,1.7733,1.2292,0.958,,0.9525,-0.061,0.1087,0.3849,14,True,False,0.1678,1.6047,,-0.0885,-0.391,-0.077,-0.008,1.5903,1.1023,1.038,,0.7903,-0.0358,0.1412,0.4106,14,True,False,0.1364,1.7522,
4,confirmed,1.48,2022-12-15,recovered,,-0.159,-0.35,-0.121,-0.0556,1.1482,0.7959,1.1994,,0.718,-0.018,0.0893,0.1908,12,True,False,0.8711,1.2069,,-0.1439,-0.3646,-0.0817,-0.0115,1.3362,0.9262,1.2819,,0.486,0.0169,0.11,0.2546,12,True,False,1.1027,1.1182,
5,confirmed,2.36,2022-08-07,recovered,,-0.1221,-0.3558,-0.1165,0.0181,2.756,1.9103,1.0239,,1.044,-0.0268,0.0998,0.2079,14,True,False,0.2266,1.8939,,-0.0694,-0.3088,-0.0558,0.0743,3.1937,2.2137,1.0566,,1.0908,0.0241,0.1095,0.2153,14,True,False,-0.0259,1.9078,
6,confirmed,1.4,2022-08-07,recovering,,-0.1129,-0.269,-0.0929,-0.0193,2.2822,1.5819,1.1285,,1.4023,0.0098,0.0775,0.1924,14,True,False,-0.0889,2.1784,,-0.0435,-0.1519,-0.0722,-0.0299,2.2846,1.5836,0.7345,,2.5009,-0.0088,0.0857,0.2183,14,True,False,-1.0347,2.6037,
8,confirmed,0.76,2022-09-19,recovering,,-0.0602,-0.3226,-0.2284,-0.2064,1.4043,0.9734,0.359,,,-0.036,0.0591,0.1162,13,True,False,0.0862,0.8486,,-0.1173,-0.3576,-0.2321,-0.2135,0.745,0.5164,0.522,,,-0.0126,0.0555,0.1558,13,True,False,0.1815,0.9522,
9,confirmed,1.04,2022-11-10,recovered,,-0.0864,-0.3301,-0.0652,0.0523,3.2127,2.2269,1.0874,,1.0576,-0.0177,0.0716,0.2447,13,True,False,0.6555,1.2141,,-0.021,-0.2926,0.0202,0.0432,1.5261,1.0578,1.1517,,0.7986,-0.0523,0.083,0.2202,13,True,False,0.8845,1.1341,
10,confirmed,0.52,2022-09-19,recovering,,-0.0398,-0.2588,-0.1617,-0.1515,3.7983,2.6327,0.4435,,,-0.0351,0.0456,0.0931,13,True,False,0.1022,0.7788,,-0.0645,-0.3151,-0.193,-0.1747,1.97,1.3655,0.4872,,,-0.0334,0.0451,0.1127,13,True,False,0.1635,0.7168,
11,confirmed,0.76,2022-08-20,recovering,,-0.0426,-0.2149,-0.1206,0.0609,8.2793,5.7388,0.5475,,3.9028,-0.0188,0.0582,0.1089,13,True,False,-0.0065,1.0999,,-0.0349,-0.243,-0.1242,0.0019,5.2389,3.6313,0.5708,,4.3665,-0.0255,0.0567,0.1307,13,True,False,0.0029,1.0031,
12,confirmed,1.52,2023-02-18,recovering,,-0.0238,-0.2378,-0.1088,-0.0702,0.63,0.4367,0.603,,,-0.012,0.0467,0.0969,11,True,False,0.6451,0.4817,,-0.0158,-0.2974,-0.1205,-0.0829,0.5953,0.4127,0.6281,,,-0.0281,0.0539,0.0883,11,True,False,0.6585,0.4985,
13,confirmed,0.76,2022-08-20,recovering,,-0.0494,-0.2376,-0.0956,-0.0396,1.8188,1.2607,0.7547,,2.3414,-0.0311,0.0543,0.104,13,True,False,0.014,1.3415,,-0.0158,-0.2744,-0.1151,-0.0713,1.1853,0.8216,0.6159,,,-0.008,0.0586,0.1452,13,True,False,0.0259,1.1419,
14,confirmed,1.32,2022-08-20,recovering,,-0.0679,-0.2771,-0.1361,-0.051,3.1318,2.1708,0.674,,2.7825,-0.0256,0.0605,0.1017,13,True,False,0.016,1.252,,-0.0436,-0.2951,-0.1473,-0.0969,2.2378,1.5511,0.5879,,,-0.0226,0.0588,0.1431,13,True,False,0.0249,1.1174,
15,confirmed,1.32,2022-08-20,recovering,,-0.1227,-0.3554,-0.1665,-0.069,2.9555,2.0486,0.8117,,1.8968,-0.0178,0.0693,0.1177,13,True,False,0.023,1.4007,,-0.0507,-0.3286,-0.1556,-0.099,2.0159,1.3973,0.6226,,5.6515,-0.0179,0.0683,0.1504,13,True,False,0.0286,1.1978,
